epoch,lr,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc
1,0.0002,0.1752805754316479,0.9298663634505315,0.9298182627275167,0.9806660340117913,0.11535459581118251,0.9578657786143489,0.9582006539028822,0.9578657786143489,0.9578929986061909,0.9926351127434394
2,0.0001978158526933439,0.08630869195105376,0.9681048139820114,0.9680889965195459,0.9948724769969992,0.10426969762573561,0.9607977991746905,0.9611040329230448,0.9607977991746905,0.9607528566928597,0.9929706154574638
3,0.00019135886849137797,0.06518789828168205,0.9762111610793132,0.9762018253438877,0.9969723708852877,0.06902281686362649,0.9760370665315282,0.9760679644795826,0.9760370665315282,0.9760287327232509,0.9964789611269522
4,0.00018091124858777603,0.055783545085095726,0.9798459219133279,0.9798381537431071,0.9977293818687544,0.0630852637550487,0.9776659668428292,0.9779296318841236,0.9776659668428292,0.9776441178446535,0.9971252223087093
5,0.0001669296041055679,0.04836088552941667,0.9823563982011447,0.9823510905002717,0.9983020617115261,0.05381886181535861,0.979222471584739,0.9792528818876636,0.979222471584739,0.979226781130388,0.998031221754135
6,0.00015002500000000003,0.04212387082627786,0.9849243663123467,0.9849203505017277,0.9987016572494354,0.06393605574220042,0.9762542532397017,0.976311225521783,0.9762542532397017,0.9762610573065579,0.9974895117240671
7,0.00013093624858777602,0.03559130897423042,0.9872687551103843,0.9872659073879547,0.9990513078584291,0.05176921999910605,0.9819373054369073,0.9819610082070046,0.9819373054369073,0.9819320515981133,0.9980097988478582
8,0.000110497619903602,0.03076254484263614,0.9886677228127555,0.9886660430700401,0.9993120291264359,0.05834741742307482,0.9798016361398683,0.9798539060102432,0.9798016361398683,0.9797930419627453,0.9976609581376408
9,8.960238009639808e-05,0.02627639643539879,0.9904819092395748,0.9904804703168084,0.9994834022750463,0.05389115763877378,0.9807427785419532,0.9807523392857698,0.9807427785419532,0.9807448296775741,0.9982107136006925
10,6.916375141222404e-05,0.020903812258979342,0.9924110793131643,0.992410052743563,0.9996673435623542,0.05000317236411962,0.9843625570115109,0.9843652157814352,0.9843625570115109,0.9843606469719822,0.9983859971883883
11,5.007500000000004e-05,0.016616719005784843,0.9942827575633688,0.9942823030437076,0.9997954454342615,0.04681699643017274,0.9858828639687252,0.9858855369307786,0.9858828639687252,0.9858812104010842,0.9986187989108111
12,3.317039589443216e-05,0.012266488988444691,0.9958222608340147,0.9958219553203476,0.9998775360170712,0.05146371425794742,0.9849417215666402,0.9849415861648889,0.9849417215666402,0.9849407776096928,0.9984049093511038
13,1.9188751412224014e-05,0.009456004536966434,0.9968507256745708,0.9968505550678506,0.9999348536172912,0.05212110362977732,0.9855932816911604,0.9855979110328903,0.9855932816911604,0.9855912315459747,0.998618046214104
14,8.741131508622034e-06,0.0068097338793810785,0.9977258789860998,0.9977258007540205,0.9999655699114582,0.05581964103846584,0.9860276551075075,0.9860283500728668,0.9860276551075075,0.9860279195653691,0.9982956235792193
15,2.2841473066561216e-06,0.006610703694784691,0.9977514309076042,0.997751377283487,0.9999714249096956,0.054882363858216404,0.9861362484615942,0.9861364691698246,0.9861362484615942,0.9861363471385056,0.9984346198165778
