epoch,lr,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc
1,0.0002,0.24835284994570678,0.8996320523303353,0.8995349219612377,0.9615755658048158,0.17065463595651642,0.9355679432418736,0.937186700572003,0.9355679432418736,0.9353291690519133,0.985145698249841
2,0.0001978158526933439,0.16363348612576695,0.9390203393295176,0.9389591476410618,0.98221742191773,0.12268269184159912,0.9541012090060088,0.9541212263365199,0.9541012090060088,0.954078981866583,0.9899806538505016
3,0.00019135886849137797,0.13725831403400296,0.9487300695012265,0.9486866128090321,0.9872266029827084,0.11744909189664535,0.9564178672265258,0.9564133676723464,0.9564178672265258,0.956414891498076,0.9907738923786337
4,0.00018091124858777603,0.1252010778922389,0.9539554374488961,0.953922523770731,0.9892922637713769,0.1039275044360522,0.9638746108738145,0.9644486421522215,0.9638746108738145,0.9638077627795971,0.9932915070129529
5,0.0001669296041055679,0.11420222276013257,0.95744327473426,0.9574119067945864,0.9910373371795247,0.11488878822761461,0.9574314051980019,0.9582971915412289,0.9574314051980019,0.9573298242951267,0.9911840147193554
6,0.00015002500000000003,0.10474955594109407,0.9623492436631235,0.9623218417093305,0.9922505639361615,0.09429552660719018,0.9661188735249403,0.9661936188103054,0.9661188735249403,0.9661313313859818,0.9949590868904264
7,0.00013093624858777602,0.09646550097049748,0.9645978127555193,0.9645722114974623,0.9935094368194058,0.08517810528202394,0.969304278578151,0.9694865487799259,0.969304278578151,0.9692737894526031,0.9950812947431115
8,0.000110497619903602,0.08885014597351502,0.9678940106295993,0.9678727797761395,0.9943585782137423,0.10685957427444423,0.9577209874755664,0.9581102257562987,0.9577209874755664,0.9577561980597705,0.9941176991643172
9,8.960238009639808e-05,0.07844399867823847,0.9716756950122649,0.9716606509254805,0.9955895573681731,0.07066467090872638,0.9746615507130963,0.9747333249761199,0.9746615507130963,0.9746459413243126,0.9964111026187428
10,6.916375141222404e-05,0.0705223853715271,0.9738348323793949,0.9738214286526075,0.9964446693221416,0.07065374610615308,0.9748787374212698,0.9748796004337587,0.9748787374212698,0.9748742273608273,0.9964166493726051
11,5.007500000000004e-05,0.06152161680140537,0.977284341782502,0.9772742871502568,0.9972489735085835,0.0693328255101233,0.9741547817273583,0.9741942942653197,0.9741547817273583,0.9741424331882785,0.9966331625861118
12,3.317039589443216e-05,0.0540730774162753,0.9803505723630417,0.9803429176977205,0.9978294084364198,0.06578302398094232,0.9770506045030044,0.9770514696532219,0.9770506045030044,0.9770509907300206,0.9972401630534732
13,1.9188751412224014e-05,0.049619648425352915,0.9821264309076042,0.982120056208502,0.9980459595663016,0.06475014720415163,0.9761818576703106,0.9762035234273762,0.9761818576703106,0.9761863919738637,0.9973747192878559
14,8.741131508622034e-06,0.04526793231373205,0.9838895134914145,0.9838840351980211,0.9984208993318364,0.061021380142122786,0.9780641424744806,0.9780626471170798,0.9780641424744806,0.978062770824664,0.9973976444644662
15,2.2841473066561216e-06,0.04157985697155066,0.9851415576451349,0.9851366598230183,0.9986647585002895,0.06453288473124033,0.9774849779193513,0.9774834093833137,0.9774849779193513,0.977483570054358,0.9972797917626277
