epoch,lr,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc
1,0.0002,0.24309912639850628,0.901880621422731,0.9017923320921579,0.9632464086480661,0.1279819080902295,0.9520741330630565,0.9520988751810305,0.9520741330630565,0.9520819917254496,0.99012852862125
2,0.0001978158526933439,0.1583613312948782,0.9408089738348324,0.9407590386641479,0.9832844933050487,0.12541909791053976,0.9546803735611381,0.955899127775349,0.9546803735611381,0.9545474360253473,0.9899601329702425
3,0.00019135886849137797,0.13899693679900949,0.948704517579722,0.9486648986360119,0.9869574635708,0.1161205410862404,0.9590241077246072,0.9595262235752264,0.9590241077246072,0.9589520673568002,0.9916812506221644
4,0.00018091124858777603,0.12480400298053713,0.9537126941946035,0.9536802910583384,0.9892238222630699,0.09676124122173667,0.9634402374574677,0.9641541629330255,0.9634402374574677,0.9633637767723741,0.9941025352250505
5,0.0001669296041055679,0.11347101097021649,0.9586697669664759,0.9586409292126918,0.9910328505060788,0.11004013171332727,0.9585897343082603,0.9588375531479113,0.9585897343082603,0.9586176852016911,0.9924696805575943
6,0.00015002500000000003,0.10340521097563966,0.9625408830744072,0.962518023376709,0.9924691205128351,0.08977834436862993,0.9674219937739811,0.967419313398365,0.9674219937739811,0.9674201436004773,0.9946522016605673
7,0.00013093624858777602,0.09530169803926412,0.9646361406377759,0.9646144799089386,0.993609141476468,0.08814482966624008,0.9661912690943314,0.9662145129198915,0.9661912690943314,0.9661973494329864,0.9947156729752029
8,0.000110497619903602,0.08513478389375699,0.9682389615699101,0.968221776517909,0.9949838601102636,0.09915990247099389,0.9633678418880764,0.9633728400436606,0.9633678418880764,0.9633565963702083,0.9933345207182855
9,8.960238009639808e-05,0.076584117940271,0.9709985690923958,0.9709858525825673,0.995881156985885,0.09165448475510628,0.9661912690943314,0.9664787832759801,0.9661912690943314,0.9662161574477807,0.9953916809659029
10,6.916375141222404e-05,0.0673473025419125,0.9752785159443991,0.975268330450803,0.9967304482948933,0.08023982645936192,0.9700282342720625,0.9700725259527624,0.9700282342720625,0.9700365702591266,0.995922155211249
11,5.007500000000004e-05,0.06043984703422164,0.978050899427637,0.9780427225842141,0.9973861665034772,0.07891802476920132,0.9705350032578006,0.9706937182938471,0.9705350032578006,0.9705514695771567,0.9962819665963094
12,3.317039589443216e-05,0.05409261878478721,0.9803505723630417,0.9803444416111021,0.9978597474872488,0.07039273132984811,0.9760370665315282,0.976035257613655,0.9760370665315282,0.9760352923659003,0.9965843384979305
13,1.9188751412224014e-05,0.04868593460224338,0.9826630212591987,0.982657556353839,0.9982077957046644,0.06241957922809517,0.9766162310866575,0.9766159780261411,0.9766162310866575,0.9766160994084802,0.9973325702855966
14,8.741131508622034e-06,0.04298315944933579,0.9841067048242028,0.9841020720458067,0.9986456109423929,0.07004692024060286,0.9755302975457902,0.975530888286369,0.9755302975457902,0.9755305723489249,0.9968010626146258
15,2.2841473066561216e-06,0.04103751944642751,0.9854865085854456,0.9854821600113309,0.9987417942764335,0.06521997175269836,0.9766886266560486,0.9766966020791061,0.9766886266560486,0.9766909469969774,0.9970642381586295
