epoch,lr,train_loss,train_acc,train_f1,train_auc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc
1,0.0002,0.11391917605477757,0.9591297015535568,0.9591134767659835,0.9911591904455795,0.04572550933555924,0.9854484905523782,0.9854483381744642,0.9854484905523782,0.9854472451102851,0.9986729655013
2,0.0001978158526933439,0.05752774505864999,0.9804783319705642,0.9804726033574717,0.9972431311439913,0.034205544791481704,0.9875479620647216,0.9875967954063536,0.9875479620647216,0.9875422537463597,0.9989025441673457
3,0.00019135886849137797,0.04462442105511666,0.9847710547833197,0.9847682168810421,0.9983583707509109,0.025324717926727264,0.9916021139506263,0.9916338147009884,0.9916021139506263,0.9915991177572517,0.9994833504586722
4,0.00018091124858777603,0.03921832656068415,0.986687448896157,0.986685309497617,0.9986408243082538,0.028067146748796342,0.9897922247158474,0.9897935346574028,0.9897922247158474,0.9897926240386115,0.9992949928208554
5,0.0001669296041055679,0.03341323395348022,0.9887060506950123,0.9887045670456022,0.9990951383562114,0.0293601500015379,0.9896474335770651,0.9897175178742276,0.9896474335770651,0.9896515910991417,0.9996158925676029
6,0.00015002500000000003,0.028472143728791695,0.9903669255928046,0.9903658286404546,0.9993125066981048,0.028167724376358942,0.9898646202852386,0.9898643691285428,0.9898646202852386,0.9898641606631726,0.9994268600395823
7,0.00013093624858777602,0.024798247979419066,0.9918233851185609,0.9918226904561779,0.9994233656354234,0.03641276695101019,0.9883443133280243,0.9884223786222376,0.9883443133280243,0.9883492172362404,0.9990651188903454
8,0.000110497619903602,0.02000752640471067,0.9932031888798037,0.9932027155991782,0.9996640233078536,0.02804527639660918,0.9916021139506263,0.9916519858885198,0.9916021139506263,0.991598372114178,0.9995680913598869
9,8.960238009639808e-05,0.01658796927830694,0.9946596484055601,0.9946593781937907,0.9997229151424766,0.03296987756505187,0.9910953449648882,0.9911405197253552,0.9910953449648882,0.991091548324172,0.9991584962771368
10,6.916375141222404e-05,0.011393592367534705,0.9961288838920687,0.9961287573205028,0.9998945395461294,0.021633181954797468,0.9927604430608846,0.992761759601761,0.9927604430608846,0.9927607664177946,0.9996040081729204
11,5.007500000000004e-05,0.009576608358728585,0.9969593213409649,0.9969592304595013,0.9998794477692552,0.02663942960276365,0.99247086078332,0.9924800793086208,0.99247086078332,0.9924719349386196,0.9993653290342827
12,3.317039589443216e-05,0.0058504751047666215,0.9980580539656582,0.9980580322772168,0.9999699078035588,0.02683015409251564,0.9934843987547962,0.9934844783728616,0.9934843987547962,0.9934841032834681,0.999559475964629
